COUNTYFP,Results,Values
22101,NEVER,0.066
22103,NEVER,0.031
22105,NEVER,0.066
22107,NEVER,0.081
22109,NEVER,0.068
22111,NEVER,0.071
22113,NEVER,0.076
22115,NEVER,0.092
22117,NEVER,0.103
22119,NEVER,0.134
22121,NEVER,0.044
22123,NEVER,0.022
22125,NEVER,0.072
22127,NEVER,0.086
23001,NEVER,0.083
23003,NEVER,0.143
23005,NEVER,0.05
23007,NEVER,0.006
23009,NEVER,0.034
23011,NEVER,0.016
23013,NEVER,0.007
23015,NEVER,0.031
23017,NEVER,0.069
23019,NEVER,0.038
23021,NEVER,0.062
23023,NEVER,0.061
23025,NEVER,0.035
23027,NEVER,0.023
23029,NEVER,0.026
23031,NEVER,0.076
24001,NEVER,0.007
24003,NEVER,0.018
24005,NEVER,0.013
24009,NEVER,0.049
24011,NEVER,0.009
24013,NEVER,0.014
24015,NEVER,0.009
24017,NEVER,0.035
24019,NEVER,0.02
24021,NEVER,0.028
24023,NEVER,0.077
24025,NEVER,0.008
24027,NEVER,0.024
24029,NEVER,0.005
24031,NEVER,0.025
24033,NEVER,0.087
24035,NEVER,0.002
24037,NEVER,0.04
24039,NEVER,0.004
24041,NEVER,0.012
24043,NEVER,0.031
24045,NEVER,0.006
24047,NEVER,0.003
24510,NEVER,0.024
25001,NEVER,0.019
25003,NEVER,0.03
25005,NEVER,0.016
25007,NEVER,0.006
25009,NEVER,0.023
25011,NEVER,0.043
25013,NEVER,0.013
25015,NEVER,0.011
25017,NEVER,0.023
25019,NEVER,0.015
25021,NEVER,0.02
25023,NEVER,0.014
25025,NEVER,0.02
25027,NEVER,0.02
26001,NEVER,0.065
26003,NEVER,0.025
26005,NEVER,0.05
26007,NEVER,0.025
26009,NEVER,0.027
26011,NEVER,0.052
26013,NEVER,0.012
26015,NEVER,0.043
26017,NEVER,0.014
26019,NEVER,0.01
26021,NEVER,0.039
26023,NEVER,0.072
26025,NEVER,0.063
26027,NEVER,0.046
26029,NEVER,0.027
26031,NEVER,0.027
26033,NEVER,0.03
26035,NEVER,0.05
26037,NEVER,0.033
26039,NEVER,0.043
26041,NEVER,0.058
26043,NEVER,0.043
26045,NEVER,0.047
26047,NEVER,0.025
26049,NEVER,0.032
26051,NEVER,0.025
26053,NEVER,0.039
26055,NEVER,0.004
26057,NEVER,0.057
26059,NEVER,0.135
26061,NEVER,0.008
26063,NEVER,0.08
26065,NEVER,0.062
26067,NEVER,0.035
26069,NEVER,0.1
26071,NEVER,0.046
26073,NEVER,0.096
26075,NEVER,0.11
26077,NEVER,0.02
26079,NEVER,0.018
26081,NEVER,0.019
26083,NEVER,0.006
26085,NEVER,0.052
26087,NEVER,0.036
26089,NEVER,0.003
26091,NEVER,0.018
26093,NEVER,0.042
26095,NEVER,0.028
26097,NEVER,0.032
26099,NEVER,0.034
26101,NEVER,0.035
26103,NEVER,0.016
26105,NEVER,0.046
26107,NEVER,0.091
26109,NEVER,0.059
26111,NEVER,0.031
26113,NEVER,0.025
26115,NEVER,0.066
26117,NEVER,0.028
26119,NEVER,0.044
26121,NEVER,0.084
26123,NEVER,0.099
26125,NEVER,0.028
26127,NEVER,0.074
26129,NEVER,0.061
26131,NEVER,0.025
26133,NEVER,0.07
26135,NEVER,0.057
26137,NEVER,0.06
26139,NEVER,0.042
26141,NEVER,0.02
26143,NEVER,0.012
26145,NEVER,0.031
26147,NEVER,0.051
26149,NEVER,0.048
26151,NEVER,0.078
26153,NEVER,0.041
26155,NEVER,0.116
26157,NEVER,0.091
26159,NEVER,0.025
26161,NEVER,0.019
26163,NEVER,0.046
26165,NEVER,0.036
27001,NEVER,0.187
27003,NEVER,0.054
27005,NEVER,0.052
27007,NEVER,0.094
27009,NEVER,0.084
27011,NEVER,0.256
27013,NEVER,0.065
27015,NEVER,0.101
27017,NEVER,0.058
27019,NEVER,0.024
27021,NEVER,0.105
27023,NEVER,0.108
27025,NEVER,0.064
27027,NEVER,0.092
27029,NEVER,0.065
27031,NEVER,0.184
27033,NEVER,0.216
27035,NEVER,0.147
27037,NEVER,0.072
27039,NEVER,0.035
27041,NEVER,0.099
27043,NEVER,0.078
27045,NEVER,0.026
27047,NEVER,0.135
27049,NEVER,0.03
27051,NEVER,0.11
27053,NEVER,0.021
27055,NEVER,0.072
27057,NEVER,0.078
27059,NEVER,0.104
27061,NEVER,0.162
27063,NEVER,0.325
27065,NEVER,0.223
27067,NEVER,0.109
27069,NEVER,0.068
27071,NEVER,0.159
27073,NEVER,0.184
27075,NEVER,0.087
27077,NEVER,0.091
27079,NEVER,0.055
27081,NEVER,0.11
27083,NEVER,0.134
27085,NEVER,0.061
27087,NEVER,0.07
27089,NEVER,0.078
27091,NEVER,0.18
27093,NEVER,0.072
27095,NEVER,0.224
27097,NEVER,0.14
27099,NEVER,0.071
27101,NEVER,0.131
27103,NEVER,0.063
27105,NEVER,0.244
27107,NEVER,0.122
27109,NEVER,0.023
27111,NEVER,0.078
27113,NEVER,0.081
27115,NEVER,0.178
27117,NEVER,0.088
27119,NEVER,0.104
27121,NEVER,0.139
27123,NEVER,0.044
27125,NEVER,0.095
27127,NEVER,0.081
27129,NEVER,0.05
27131,NEVER,0.089
27133,NEVER,0.095
27135,NEVER,0.077
27137,NEVER,0.095
27139,NEVER,0.021
27141,NEVER,0.064
27143,NEVER,0.04
27145,NEVER,0.082
27147,NEVER,0.074
27149,NEVER,0.169
27151,NEVER,0.17
27153,NEVER,0.097
27155,NEVER,0.196
27157,NEVER,0.041
27159,NEVER,0.061
27161,NEVER,0.074
27163,NEVER,0.044
27165,NEVER,0.149
27167,NEVER,0.166
27169,NEVER,0.029
27171,NEVER,0.083
27173,NEVER,0.122
28001,NEVER,0.113
28003,NEVER,0.069
28005,NEVER,0.11
28007,NEVER,0.065
28009,NEVER,0.018
28011,NEVER,0.123
28013,NEVER,0.074
28015,NEVER,0.08
28017,NEVER,0.07
28019,NEVER,0.035
28021,NEVER,0.038
28023,NEVER,0.044
28025,NEVER,0.029
28027,NEVER,0.038
28029,NEVER,0.073
28031,NEVER,0.11
28033,NEVER,0.055
28035,NEVER,0.072
28037,NEVER,0.087
28039,NEVER,0.037
28041,NEVER,0.015
28043,NEVER,0.056
28045,NEVER,0.063
28047,NEVER,0.093
28049,NEVER,0.019
28051,NEVER,0.062
28053,NEVER,0.117
28055,NEVER,0.03
28057,NEVER,0.116
28059,NEVER,0.077
28061,NEVER,0.066
28063,NEVER,0.076
28065,NEVER,0.141
28067,NEVER,0.069
28069,NEVER,0.032
28071,NEVER,0.019
28073,NEVER,0.087
28075,NEVER,0.036
28077,NEVER,0.119
28079,NEVER,0.031
28081,NEVER,0.094
28083,NEVER,0.122
28085,NEVER,0.077
28087,NEVER,0.018
28089,NEVER,0.029
28091,NEVER,0.137
28093,NEVER,0.013
28095,NEVER,0.087
28097,NEVER,0.058
28099,NEVER,0.017
28101,NEVER,0.01
28103,NEVER,0.009
28105,NEVER,0.015
28107,NEVER,0.061
28109,NEVER,0.05
28111,NEVER,0.057
28113,NEVER,0.116
28115,NEVER,0.06
28117,NEVER,0.103
28119,NEVER,0.041
28121,NEVER,0.031
28123,NEVER,0.026
28125,NEVER,0.066
28127,NEVER,0.081
28129,NEVER,0.106
28131,NEVER,0.109
28133,NEVER,0.137
28135,NEVER,0.061
28137,NEVER,0.097
28139,NEVER,0.068
28141,NEVER,0.072
28143,NEVER,0.131
28145,NEVER,0.078
28147,NEVER,0.158
28149,NEVER,0.021
28151,NEVER,0.138
28153,NEVER,0.037
28155,NEVER,0.052
28157,NEVER,0.146
28159,NEVER,0.029
28161,NEVER,0.029
28163,NEVER,0.05
29001,NEVER,0.067
29003,NEVER,0.133
29005,NEVER,0.09
29007,NEVER,0.11
29009,NEVER,0.106
29011,NEVER,0.15
29013,NEVER,0.138
29015,NEVER,0.188
29017,NEVER,0.097
29019,NEVER,0.073
29021,NEVER,0.121
29023,NEVER,0.189
29025,NEVER,0.109
29027,NEVER,0.123
29029,NEVER,0.266
29031,NEVER,0.08
29033,NEVER,0.155
29035,NEVER,0.159
29037,NEVER,0.027
29039,NEVER,0.275
29041,NEVER,0.117
29043,NEVER,0.13
29045,NEVER,0.154
29047,NEVER,0.033
29049,NEVER,0.066
29051,NEVER,0.087
29053,NEVER,0.06
29055,NEVER,0.167
29057,NEVER,0.312
29059,NEVER,0.165
29061,NEVER,0.124
29063,NEVER,0.144
29065,NEVER,0.167
29067,NEVER,0.285
29069,NEVER,0.068
29071,NEVER,0.122
29073,NEVER,0.086
29075,NEVER,0.101
29077,NEVER,0.099
29079,NEVER,0.195
29081,NEVER,0.173
29083,NEVER,0.128
29085,NEVER,0.182
29087,NEVER,0.129
29089,NEVER,0.076
29091,NEVER,0.301
29093,NEVER,0.133
29095,NEVER,0.027
29097,NEVER,0.138
29099,NEVER,0.042
29101,NEVER,0.168
29103,NEVER,0.082
29105,NEVER,0.313
29107,NEVER,0.033
29109,NEVER,0.241
29111,NEVER,0.164
29113,NEVER,0.063
29115,NEVER,0.126
29117,NEVER,0.15
29119,NEVER,0.152
29121,NEVER,0.118
29123,NEVER,0.082
29125,NEVER,0.098
29127,NEVER,0.178
29129,NEVER,0.23
29131,NEVER,0.2
29133,NEVER,0.129
29135,NEVER,0.102
29137,NEVER,0.164
29139,NEVER,0.062
29141,NEVER,0.211
29143,NEVER,0.098
29145,NEVER,0.156
29147,NEVER,0.093
29149,NEVER,0.142
29151,NEVER,0.067
29153,NEVER,0.179
29155,NEVER,0.079
29157,NEVER,0.032
29159,NEVER,0.185
29161,NEVER,0.139
29163,NEVER,0.082
29165,NEVER,0.044
29167,NEVER,0.183
29169,NEVER,0.208
29171,NEVER,0.107
29173,NEVER,0.16
29175,NEVER,0.163
29177,NEVER,0.073
29179,NEVER,0.137
29181,NEVER,0.126
29183,NEVER,0.041
29185,NEVER,0.163
29186,NEVER,0.025
29187,NEVER,0.103
29189,NEVER,0.024
29195,NEVER,0.083
29197,NEVER,0.05
29199,NEVER,0.073
29201,NEVER,0.125
29203,NEVER,0.212
29205,NEVER,0.142
29207,NEVER,0.137
29209,NEVER,0.056
29211,NEVER,0.136
29213,NEVER,0.053
29215,NEVER,0.309
29217,NEVER,0.164
29219,NEVER,0.11
29221,NEVER,0.181
29223,NEVER,0.191
29225,NEVER,0.297
29227,NEVER,0.098
29229,NEVER,0.419
29510,NEVER,0.039
30001,NEVER,0.165
30003,NEVER,0.136
30005,NEVER,0.287
30007,NEVER,0.165
30009,NEVER,0.14
30011,NEVER,0.123
30013,NEVER,0.17
30015,NEVER,0.196
30017,NEVER,0.085
30019,NEVER,0.172
30021,NEVER,0.139
30023,NEVER,0.141
30025,NEVER,0.118
30027,NEVER,0.284
30029,NEVER,0.076
30031,NEVER,0.132
30033,NEVER,0.134
30035,NEVER,0.084
30037,NEVER,0.134
30039,NEVER,0.116
30041,NEVER,0.27
30043,NEVER,0.158
30045,NEVER,0.233
30047,NEVER,0.087
30049,NEVER,0.149
30051,NEVER,0.188
30053,NEVER,0.118
30055,NEVER,0.142
30057,NEVER,0.172
30059,NEVER,0.188
30061,NEVER,0.097
30063,NEVER,0.091
30065,NEVER,0.128
30067,NEVER,0.114
30069,NEVER,0.157
30071,NEVER,0.229
30073,NEVER,0.123
30075,NEVER,0.193
30077,NEVER,0.118
30079,NEVER,0.101
30081,NEVER,0.121
30083,NEVER,0.176
30085,NEVER,0.169
30087,NEVER,0.126
30089,NEVER,0.15
30091,NEVER,0.179
30093,NEVER,0.158
30095,NEVER,0.126
30097,NEVER,0.116
30099,NEVER,0.134
30101,NEVER,0.138
30103,NEVER,0.122
30105,NEVER,0.172
30107,NEVER,0.214
30109,NEVER,0.165
30111,NEVER,0.129
31001,NEVER,0.057
31003,NEVER,0.198
31005,NEVER,0.144
31007,NEVER,0.249
31009,NEVER,0.176
31011,NEVER,0.156
31013,NEVER,0.303
31015,NEVER,0.081
31017,NEVER,0.141
31019,NEVER,0.065
31021,NEVER,0.066
31023,NEVER,0.027
31025,NEVER,0.042
31027,NEVER,0.207
31029,NEVER,0.055
31031,NEVER,0.158
31033,NEVER,0.116
31035,NEVER,0.064
31037,NEVER,0.054
31039,NEVER,0.147
31041,NEVER,0.143
31043,NEVER,0.113
31045,NEVER,0.224
31047,NEVER,0.096
31049,NEVER,0.093
31051,NEVER,0.163
31053,NEVER,0.14
31055,NEVER,0.091
31057,NEVER,0.053
31059,NEVER,0.053
31061,NEVER,0.083
31063,NEVER,0.094
31065,NEVER,0.101
31067,NEVER,0.127
31069,NEVER,0.202
31071,NEVER,0.168
31073,NEVER,0.086
31075,NEVER,0.199
31077,NEVER,0.122
31079,NEVER,0.048
31081,NEVER,0.04
31083,NEVER,0.089
31085,NEVER,0.072
31087,NEVER,0.085
31089,NEVER,0.113
31091,NEVER,0.151
31093,NEVER,0.073
31095,NEVER,0.206
31097,NEVER,0.061
31099,NEVER,0.062
31101,NEVER,0.093
31103,NEVER,0.124
31105,NEVER,0.187
31107,NEVER,0.171
31109,NEVER,0.093
31111,NEVER,0.103
31113,NEVER,0.14
31115,NEVER,0.193
31117,NEVER,0.121
31119,NEVER,0.251
31121,NEVER,0.05
31123,NEVER,0.261
31125,NEVER,0.091
31127,NEVER,0.09
31129,NEVER,0.138
31131,NEVER,0.11
31133,NEVER,0.067
31135,NEVER,0.069
31137,NEVER,0.072
31139,NEVER,0.253
31141,NEVER,0.044
31143,NEVER,0.029
31145,NEVER,0.102
31147,NEVER,0.098
31149,NEVER,0.13
31151,NEVER,0.021
31153,NEVER,0.094
31155,NEVER,0.108
31157,NEVER,0.256
31159,NEVER,0.028
31161,NEVER,0.248
31163,NEVER,0.093
31165,NEVER,0.241
31167,NEVER,0.265
31169,NEVER,0.185
31171,NEVER,0.152
31173,NEVER,0.123
31175,NEVER,0.135
31177,NEVER,0.086
31179,NEVER,0.245
31181,NEVER,0.091
31183,NEVER,0.162
31185,NEVER,0.044
32001,NEVER,0.022
32003,NEVER,0.027
32005,NEVER,0.029
32007,NEVER,0.021
32009,NEVER,0.086
32011,NEVER,0.002
32013,NEVER,0.008
32015,NEVER,0.004
32017,NEVER,0.048
32019,NEVER,0.037
32021,NEVER,0.022
32023,NEVER,0.061
32027,NEVER,0.01
32029,NEVER,0.015
32031,NEVER,0.024
32033,NEVER,0.059
32510,NEVER,0.023
33001,NEVER,0.114
33003,NEVER,0.088
33005,NEVER,0.02
33007,NEVER,0.017
33009,NEVER,0.039
33011,NEVER,0.03
33013,NEVER,0.085
33015,NEVER,0.018
33017,NEVER,0.08
33019,NEVER,0.06
34001,NEVER,0.019
34003,NEVER,0.02
34005,NEVER,0.023
34007,NEVER,0.028
34009,NEVER,0.013
34011,NEVER,0.032
34013,NEVER,0.035
34015,NEVER,0.047
34017,NEVER,0.022
34019,NEVER,0.007
34021,NEVER,0.017
34023,NEVER,0.02
34025,NEVER,0.01
34027,NEVER,0.023
34029,NEVER,0.012
34031,NEVER,0.029
34033,NEVER,0.041
34035,NEVER,0.016
34037,NEVER,0.02
34039,NEVER,0.012
34041,NEVER,0.035
35001,NEVER,0.036
35003,NEVER,0.054
35005,NEVER,0.074
35006,NEVER,0.003
35007,NEVER,0.041
35009,NEVER,0.011
35011,NEVER,0.036
35013,NEVER,0.011
35015,NEVER,0.2
35017,NEVER,0.043
35019,NEVER,0.014
35021,NEVER,0.057
35023,NEVER,0.056
35025,NEVER,0.112
35027,NEVER,0.04
35028,NEVER,0.001
35029,NEVER,0.105
35031,NEVER,0.01
35033,NEVER,0.002
35035,NEVER,0.074
35037,NEVER,0.049
35039,NEVER,0.007
35041,NEVER,0.009
35043,NEVER,0.017
35045,NEVER,0.057
35047,NEVER,0.004
35049,NEVER,0.008
35051,NEVER,0.03
35053,NEVER,0.002
35055,NEVER,0.006
35057,NEVER,0.097
35059,NEVER,0.12
35061,NEVER,0.006
36001,NEVER,0.006
36003,NEVER,0.062
36005,NEVER,0.043
36007,NEVER,0.044
36009,NEVER,0.015
36011,NEVER,0
36013,NEVER,0.029
36015,NEVER,0.012
36017,NEVER,0.048
36019,NEVER,0.017
36021,NEVER,0.014
36023,NEVER,0.001
36025,NEVER,0.057
36027,NEVER,0.007
36029,NEVER,0.018
36031,NEVER,0.05
36033,NEVER,0.026
36035,NEVER,0.078
36037,NEVER,0.001
36039,NEVER,0.022
36041,NEVER,0.042
36043,NEVER,0.015
36045,NEVER,0.008
36047,NEVER,0.035
36049,NEVER,0.069
36051,NEVER,0.011
36053,NEVER,0.003
36055,NEVER,0.018
36057,NEVER,0.102
36059,NEVER,0.017
36061,NEVER,0.02
36063,NEVER,0.001
36065,NEVER,0.016
36067,NEVER,0.019
36069,NEVER,0.001
36071,NEVER,0.023
36073,NEVER,0.001
36075,NEVER,0.017
36077,NEVER,0.032
36079,NEVER,0.003
36081,NEVER,0.022
36083,NEVER,0.018
36085,NEVER,0.033
36087,NEVER,0.011
36089,NEVER,0.027
36091,NEVER,0.02
36093,NEVER,0.04
36095,NEVER,0.007
36097,NEVER,0.01
36099,NEVER,0.001
36101,NEVER,0.036
36103,NEVER,0.04
36105,NEVER,0.024
36107,NEVER,0.019
36109,NEVER,0.012
36111,NEVER,0.014
36113,NEVER,0.026
36115,NEVER,0.026
36117,NEVER,0.001
36119,NEVER,0.025
36121,NEVER,0.001
36123,NEVER,0
37001,NEVER,0.04
37003,NEVER,0.027
37005,NEVER,0.153
37007,NEVER,0.053
37009,NEVER,0.149
37011,NEVER,0.096
37013,NEVER,0.037
37015,NEVER,0.1
37017,NEVER,0.073
37019,NEVER,0.024
37021,NEVER,0.009
37023,NEVER,0.091
37025,NEVER,0.04
37027,NEVER,0.028
37029,NEVER,0.091
37031,NEVER,0.01
37033,NEVER,0.06
37035,NEVER,0.035
37037,NEVER,0.007
37039,NEVER,0.085
37041,NEVER,0.044
37043,NEVER,0.099
37045,NEVER,0.062
37047,NEVER,0.179
37049,NEVER,0.034
37051,NEVER,0.028
37053,NEVER,0.157
37055,NEVER,0.028
37057,NEVER,0.058
37059,NEVER,0.074
37061,NEVER,0.068
37063,NEVER,0.017
37065,NEVER,0.021
37067,NEVER,0.02
37069,NEVER,0.038
37071,NEVER,0.038
37073,NEVER,0.008
37075,NEVER,0.095
37077,NEVER,0.042
37079,NEVER,0.072
37081,NEVER,0.04
37083,NEVER,0.014
37085,NEVER,0.031
37087,NEVER,0.077
37089,NEVER,0.014
37091,NEVER,0.02
37093,NEVER,0.009
37095,NEVER,0.133
37097,NEVER,0.08
37099,NEVER,0.077
37101,NEVER,0.032
37103,NEVER,0.064
37105,NEVER,0.066
37107,NEVER,0.109
37109,NEVER,0.029
37111,NEVER,0.075
37113,NEVER,0.153
37115,NEVER,0.016
37117,NEVER,0.084
37119,NEVER,0.029
37121,NEVER,0.096
37123,NEVER,0.027
37125,NEVER,0.039
37127,NEVER,0.044
37129,NEVER,0.019
37131,NEVER,0.017
37133,NEVER,0.039
37135,NEVER,0.01
37137,NEVER,0.036
37139,NEVER,0.067
37141,NEVER,0.05
37143,NEVER,0.036
37145,NEVER,0.01
37147,NEVER,0.034
37149,NEVER,0.018
37151,NEVER,0.066
37153,NEVER,0.05
37155,NEVER,0.062
37157,NEVER,0.125
37159,NEVER,0.086
37161,NEVER,0.045
37163,NEVER,0.006
37165,NEVER,0.137
37167,NEVER,0.029
37169,NEVER,0.015
37171,NEVER,0.019
37173,NEVER,0.079
37175,NEVER,0.025
37177,NEVER,0.054
37179,NEVER,0.06
37181,NEVER,0.042
37183,NEVER,0.015
37185,NEVER,0.027
37187,NEVER,0.113
37189,NEVER,0.062
37191,NEVER,0.017
37193,NEVER,0.046
37195,NEVER,0.013
37197,NEVER,0.073
37199,NEVER,0.028
38001,NEVER,0.219
38003,NEVER,0.111
38005,NEVER,0.289
38007,NEVER,0.2
38009,NEVER,0.206
38011,NEVER,0.188
38013,NEVER,0.191
38015,NEVER,0.172
38017,NEVER,0.09
38019,NEVER,0.146
38021,NEVER,0.151
38023,NEVER,0.186
38025,NEVER,0.195
38027,NEVER,0.269
38029,NEVER,0.16
38031,NEVER,0.265
38033,NEVER,0.187
38035,NEVER,0.097
38037,NEVER,0.177
38039,NEVER,0.162
38041,NEVER,0.218
38043,NEVER,0.193
38045,NEVER,0.115
38047,NEVER,0.172
38049,NEVER,0.206
38051,NEVER,0.169
38053,NEVER,0.19
38055,NEVER,0.189
38057,NEVER,0.189
38059,NEVER,0.172
38061,NEVER,0.192
38063,NEVER,0.133
38065,NEVER,0.181
38067,NEVER,0.08
38069,NEVER,0.253
38071,NEVER,0.242
38073,NEVER,0.073
38075,NEVER,0.193
38077,NEVER,0.155
38079,NEVER,0.248
38081,NEVER,0.081
38083,NEVER,0.203
38085,NEVER,0.157
38087,NEVER,0.217
38089,NEVER,0.207
38091,NEVER,0.172
38093,NEVER,0.202
38095,NEVER,0.263
38097,NEVER,0.144
38099,NEVER,0.087
38101,NEVER,0.195
38103,NEVER,0.254
38105,NEVER,0.186
39001,NEVER,0.074
39003,NEVER,0.085
39005,NEVER,0.068
39007,NEVER,0.144
39009,NEVER,0.071
39011,NEVER,0.131
39013,NEVER,0.082
39015,NEVER,0.177
39017,NEVER,0.047
39019,NEVER,0.147
39021,NEVER,0.084
39023,NEVER,0.066
39025,NEVER,0.082
39027,NEVER,0.171
39029,NEVER,0.098
39031,NEVER,0.077
39033,NEVER,0.101
39035,NEVER,0.042
39037,NEVER,0.216
39039,NEVER,0.052
39041,NEVER,0.018
39043,NEVER,0.078
39045,NEVER,0.1
39047,NEVER,0.157
39049,NEVER,0.042
39051,NEVER,0.029
39053,NEVER,0.074
39055,NEVER,0.03
39057,NEVER,0.041
39059,NEVER,0.101
39061,NEVER,0.069
39063,NEVER,0.076
39065,NEVER,0.149
39067,NEVER,0.107
39069,NEVER,0.038
39071,NEVER,0.157
39073,NEVER,0.169
39075,NEVER,0.05
39077,NEVER,0.191
39079,NEVER,0.166
39081,NEVER,0.076
39083,NEVER,0.138
39085,NEVER,0.067
39087,NEVER,0.089
39089,NEVER,0.056
39091,NEVER,0.136
39093,NEVER,0.089
39095,NEVER,0.078
39097,NEVER,0.037
39099,NEVER,0.046
39101,NEVER,0.084
39103,NEVER,0.068
39105,NEVER,0.072
39107,NEVER,0.102
39109,NEVER,0.077
39111,NEVER,0.04
39113,NEVER,0.041
39115,NEVER,0.142
39117,NEVER,0.059
39119,NEVER,0.136
39121,NEVER,0.109
39123,NEVER,0.052
39125,NEVER,0.095
39127,NEVER,0.138
39129,NEVER,0.067
39131,NEVER,0.186
39133,NEVER,0.028
39135,NEVER,0.045
39137,NEVER,0.041
39139,NEVER,0.066
39141,NEVER,0.181
39143,NEVER,0.139
39145,NEVER,0.121
39147,NEVER,0.119
39149,NEVER,0.182
39151,NEVER,0.065
39153,NEVER,0.048
39155,NEVER,0.054
39157,NEVER,0.126
39159,NEVER,0.175
39161,NEVER,0.069
39163,NEVER,0.09
39165,NEVER,0.062
39167,NEVER,0.072
39169,NEVER,0.064
39171,NEVER,0.035
39173,NEVER,0.029
39175,NEVER,0.1
40001,NEVER,0.105
40003,NEVER,0.203
40005,NEVER,0.076
40007,NEVER,0.153
40009,NEVER,0.088
40011,NEVER,0.029
40013,NEVER,0.094
40015,NEVER,0.013
40017,NEVER,0.043
40019,NEVER,0.128
40021,NEVER,0.099
40023,NEVER,0.064
40025,NEVER,0.14
40027,NEVER,0.046
40029,NEVER,0.075
40031,NEVER,0.054
40033,NEVER,0.06
40035,NEVER,0.247
40037,NEVER,0.154
40039,NEVER,0.006
40041,NEVER,0.188
40043,NEVER,0.066
40045,NEVER,0.132
40047,NEVER,0.233
40049,NEVER,0.075
40051,NEVER,0.047
40053,NEVER,0.205
40055,NEVER,0.073
40057,NEVER,0.105
40059,NEVER,0.158
40061,NEVER,0.146
40063,NEVER,0.089
40065,NEVER,0.021
40067,NEVER,0.084
40069,NEVER,0.088
40071,NEVER,0.099
40073,NEVER,0.046
40075,NEVER,0.025
40077,NEVER,0.159
40079,NEVER,0.142
40081,NEVER,0.135
40083,NEVER,0.03
40085,NEVER,0.188
40087,NEVER,0.092
40089,NEVER,0.131
40091,NEVER,0.085
40093,NEVER,0.169
40095,NEVER,0.13
40097,NEVER,0.173
40099,NEVER,0.042
40101,NEVER,0.063
40103,NEVER,0.069
40105,NEVER,0.148
40107,NEVER,0.112
40109,NEVER,0.096
40111,NEVER,0.078
40113,NEVER,0.077
40115,NEVER,0.154
40117,NEVER,0.178
40119,NEVER,0.083
40121,NEVER,0.117
40123,NEVER,0.029
40125,NEVER,0.042
40127,NEVER,0.077
40129,NEVER,0.109
40131,NEVER,0.097
40133,NEVER,0.095
40135,NEVER,0.106
40137,NEVER,0.041
40139,NEVER,0.123
40141,NEVER,0.042
40143,NEVER,0.074
40145,NEVER,0.032
40147,NEVER,0.118
40149,NEVER,0.024
40151,NEVER,0.165
40153,NEVER,0.146
41001,NEVER,0.051
41003,NEVER,0.007
41005,NEVER,0.016
41007,NEVER,0.052
41009,NEVER,0.048
41011,NEVER,0.128
41013,NEVER,0.019
41015,NEVER,0.025
41017,NEVER,0.01
41019,NEVER,0.082
41021,NEVER,0.008
41023,NEVER,0.014
41025,NEVER,0.032
41027,NEVER,0.03
41029,NEVER,0.044
41031,NEVER,0.018
41033,NEVER,0.028
41035,NEVER,0.097
41037,NEVER,0.05
41039,NEVER,0.031
41041,NEVER,0.001
41043,NEVER,0.057
41045,NEVER,0.071
41047,NEVER,0.029
41049,NEVER,0.026
41051,NEVER,0.013
41053,NEVER,0.013
41055,NEVER,0.008
41057,NEVER,0.125
41059,NEVER,0.043
41061,NEVER,0.034
41063,NEVER,0.041
41065,NEVER,0.019
41067,NEVER,0.006
41069,NEVER,0.023
41071,NEVER,0.021
42001,NEVER,0.039
42003,NEVER,0.017
42005,NEVER,0.027
42007,NEVER,0.015
42009,NEVER,0.014
42011,NEVER,0.036
42013,NEVER,0.041
42015,NEVER,0.042
42017,NEVER,0.014
42019,NEVER,0.035
42021,NEVER,0.026
42023,NEVER,0.147
42025,NEVER,0.013
42027,NEVER,0.017
42029,NEVER,0.006
42031,NEVER,0.057
42033,NEVER,0.051
42035,NEVER,0.014
42037,NEVER,0.02
42039,NEVER,0.024
42041,NEVER,0.031
42043,NEVER,0.032
42045,NEVER,0.01
42047,NEVER,0.055
42049,NEVER,0.016
42051,NEVER,0.053
42053,NEVER,0.016
42055,NEVER,0.023
42057,NEVER,0.013
42059,NEVER,0.104
42061,NEVER,0.07
42063,NEVER,0.015
42065,NEVER,0.083
42067,NEVER,0.065
42069,NEVER,0.007
42071,NEVER,0.037
42073,NEVER,0.034
42075,NEVER,0.026
42077,NEVER,0.014
42079,NEVER,0.016
42081,NEVER,0.062
42083,NEVER,0.012
42085,NEVER,0.028
42087,NEVER,0.084
42089,NEVER,0.019
42091,NEVER,0.016
42093,NEVER,0.042
42095,NEVER,0.015
42097,NEVER,0.064
42099,NEVER,0.035
42101,NEVER,0.023
42103,NEVER,0.01
42105,NEVER,0.061
42107,NEVER,0.066
42109,NEVER,0.062
42111,NEVER,0.041
42113,NEVER,0.025
42115,NEVER,0.046
42117,NEVER,0.098
42119,NEVER,0.078
42121,NEVER,0.004
42123,NEVER,0.009
42125,NEVER,0.052
42127,NEVER,0.004
42129,NEVER,0.017
42131,NEVER,0.035
42133,NEVER,0.018
44001,NEVER,0.007
44003,NEVER,0.016
44005,NEVER,0.004
44007,NEVER,0.022
44009,NEVER,0.012
45001,NEVER,0.117
45003,NEVER,0.1
45005,NEVER,0.172
45007,NEVER,0.069
45009,NEVER,0.167
45011,NEVER,0.169
45013,NEVER,0.038
45015,NEVER,0.05
45017,NEVER,0.06
45019,NEVER,0.036
45021,NEVER,0.088
45023,NEVER,0.151
