COUNTYFP,Results,Values
18105,NEVER,0.037
18107,NEVER,0.07
18109,NEVER,0.06
18111,NEVER,0.102
18113,NEVER,0.057
18115,NEVER,0.06
18117,NEVER,0.096
18119,NEVER,0.094
18121,NEVER,0.116
18123,NEVER,0.01
18125,NEVER,0.052
18127,NEVER,0.05
18129,NEVER,0.132
18131,NEVER,0.135
18133,NEVER,0.075
18135,NEVER,0.128
18137,NEVER,0.054
18139,NEVER,0.133
18141,NEVER,0.031
18143,NEVER,0.036
18145,NEVER,0.16
18147,NEVER,0.017
18149,NEVER,0.177
18151,NEVER,0.04
18153,NEVER,0.127
18155,NEVER,0.089
18157,NEVER,0.093
18159,NEVER,0.033
18161,NEVER,0.095
18163,NEVER,0.07
18165,NEVER,0.113
18167,NEVER,0.118
18169,NEVER,0.07
18171,NEVER,0.079
18173,NEVER,0.045
18175,NEVER,0.097
18177,NEVER,0.162
18179,NEVER,0.205
18181,NEVER,0.056
18183,NEVER,0.061
19001,NEVER,0.073
19003,NEVER,0.148
19005,NEVER,0.138
19007,NEVER,0.044
19009,NEVER,0.224
19011,NEVER,0.098
19013,NEVER,0.032
19015,NEVER,0.09
19017,NEVER,0.048
19019,NEVER,0.021
19021,NEVER,0.183
19023,NEVER,0.052
19025,NEVER,0.212
19027,NEVER,0.153
19029,NEVER,0.341
19031,NEVER,0.026
19033,NEVER,0.061
19035,NEVER,0.183
19037,NEVER,0.075
19039,NEVER,0.078
19041,NEVER,0.224
19043,NEVER,0.123
19045,NEVER,0.092
19047,NEVER,0.089
19049,NEVER,0.036
19051,NEVER,0.038
19053,NEVER,0.248
19055,NEVER,0.035
19057,NEVER,0.135
19059,NEVER,0.276
19061,NEVER,0.037
19063,NEVER,0.241
19065,NEVER,0.054
19067,NEVER,0.063
19069,NEVER,0.088
19071,NEVER,0.048
19073,NEVER,0.116
19075,NEVER,0.038
19077,NEVER,0.162
19079,NEVER,0.143
19081,NEVER,0.08
19083,NEVER,0.074
19085,NEVER,0.118
19087,NEVER,0.123
19089,NEVER,0.077
19091,NEVER,0.243
19093,NEVER,0.153
19095,NEVER,0.027
19097,NEVER,0.032
19099,NEVER,0.102
19101,NEVER,0.074
19103,NEVER,0.014
19105,NEVER,0.04
19107,NEVER,0.035
19109,NEVER,0.135
19111,NEVER,0.17
19113,NEVER,0.039
19115,NEVER,0.097
19117,NEVER,0.032
19119,NEVER,0.078
19121,NEVER,0.01
19123,NEVER,0.069
19125,NEVER,0.053
19127,NEVER,0.077
19129,NEVER,0.064
19131,NEVER,0.046
19133,NEVER,0.078
19135,NEVER,0.034
19137,NEVER,0.218
19139,NEVER,0.12
19141,NEVER,0.173
19143,NEVER,0.195
19145,NEVER,0.088
19147,NEVER,0.199
19149,NEVER,0.125
19151,NEVER,0.214
19153,NEVER,0.044
19155,NEVER,0.115
19157,NEVER,0.121
19159,NEVER,0.144
19161,NEVER,0.18
19163,NEVER,0.075
